regime,start,end,days
Neutral/Mixed Growth / Up Inflation,1995-01-02,1995-01-11,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-01-12,1995-02-06,18
Goldilocks / Expansion,1995-02-07,1995-04-10,45
Reflation,1995-04-11,1995-06-20,51
Goldilocks / Expansion,1995-06-21,1995-08-31,52
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-09-01,1995-09-08,6
Goldilocks / Expansion,1995-09-11,1995-09-15,5
Reflation,1995-09-18,1995-10-06,15
Neutral/Mixed Growth / Up Inflation,1995-10-09,1995-12-07,44
Reflation,1995-12-08,1995-12-15,6
Neutral/Mixed Growth / Up Inflation,1995-12-18,1996-02-06,37
Reflation,1996-02-07,1996-02-28,16
Neutral/Mixed Growth / Up Inflation + Stress Overlay,1996-02-29,1996-03-05,4
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-03-06,1996-04-10,26
Neutral/Mixed Growth / Up Inflation + Stress Overlay,1996-04-11,1996-04-22,8
Neutral/Mixed Growth / Up Inflation,1996-04-23,1996-05-07,11
Stagflation-like,1996-05-08,1996-05-16,7
Neutral/Mixed Growth / Up Inflation,1996-05-17,1996-06-10,17
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-06-11,1996-06-24,10
Neutral/Mixed Growth / Down Inflation,1996-06-25,1996-07-16,16
Neutral/Mixed Growth / Down Inflation + Stress Overlay,1996-07-17,1996-07-18,2
Slowdown / Deflationary Slowdown + Stress Overlay,1996-07-19,1996-08-06,13
Neutral/Mixed Growth / Down Inflation + Stress Overlay,1996-08-07,1996-08-14,6
Slowdown / Deflationary Slowdown + Stress Overlay,1996-08-15,1996-08-15,1
Slowdown / Deflationary Slowdown,1996-08-16,1996-09-11,19
Down Growth / Neutral/Mixed Inflation,1996-09-12,1996-09-12,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-09-13,1996-10-07,17
Goldilocks / Expansion,1996-10-08,1996-10-18,9
Reflation,1996-10-21,1996-11-05,12
Goldilocks / Expansion,1996-11-06,1996-11-20,11
Reflation,1996-11-21,1996-12-31,29
Reflation + Stress Overlay,1997-01-01,1997-01-02,2
Goldilocks / Expansion + Stress Overlay,1997-01-03,1997-01-03,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-01-06,1997-01-15,8
Goldilocks / Expansion + Stress Overlay,1997-01-16,1997-03-21,47
