regime,start,end,days
Neutral/Mixed Growth / Down Inflation,2005-05-16,2005-07-21,49
Goldilocks / Expansion,2005-07-22,2005-08-19,21
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-08-22,2005-09-22,24
Neutral/Mixed Growth / Up Inflation,2005-09-23,2005-12-09,56
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-12-12,2006-01-06,20
Goldilocks / Expansion,2006-01-09,2006-01-20,10
Neutral/Mixed Growth / Neutral/Mixed Inflation,2006-01-23,2006-04-21,65
Goldilocks / Expansion,2006-04-24,2006-04-28,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2006-05-01,2006-05-10,8
Neutral/Mixed Growth / Up Inflation,2006-05-11,2006-05-29,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2006-05-30,2006-06-29,23
Down Growth / Neutral/Mixed Inflation,2006-06-30,2006-07-05,4
Stagflation-like,2006-07-06,2006-07-18,9
Down Growth / Neutral/Mixed Inflation,2006-07-19,2006-09-06,36
Neutral/Mixed Growth / Neutral/Mixed Inflation,2006-09-07,2006-09-26,14
Neutral/Mixed Growth / Down Inflation,2006-09-27,2006-10-12,12
Goldilocks / Expansion,2006-10-13,2006-12-21,50
Neutral/Mixed Growth / Neutral/Mixed Inflation,2006-12-22,2007-03-06,53
Down Growth / Neutral/Mixed Inflation,2007-03-07,2007-03-22,12
Neutral/Mixed Growth / Neutral/Mixed Inflation,2007-03-23,2007-03-28,4
Neutral/Mixed Growth / Up Inflation,2007-03-29,2007-05-11,32
Neutral/Mixed Growth / Neutral/Mixed Inflation,2007-05-14,2007-06-11,21
Neutral/Mixed Growth / Up Inflation,2007-06-12,2007-06-26,11
Neutral/Mixed Growth / Neutral/Mixed Inflation,2007-06-27,2007-07-05,7
Goldilocks / Expansion,2007-07-06,2007-07-13,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2007-07-16,2007-07-27,10
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2007-07-30,2007-08-14,12
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2007-08-15,2007-09-26,31
Down Growth / Neutral/Mixed Inflation,2007-09-27,2007-10-04,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2007-10-05,2007-10-26,16
Neutral/Mixed Growth / Up Inflation,2007-10-29,2007-11-22,19
Stagflation-like,2007-11-23,2008-01-07,32
Stagflation-like + Stress Overlay,2008-01-08,2008-01-21,10
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2008-01-22,2008-02-18,20
Down Growth / Neutral/Mixed Inflation,2008-02-19,2008-02-27,7
Stagflation-like,2008-02-28,2008-03-20,16
Stagflation-like + Stress Overlay,2008-03-21,2008-04-02,9
Stagflation-like,2008-04-03,2008-04-08,4
Neutral/Mixed Growth / Up Inflation,2008-04-09,2008-06-24,55
Stagflation-like,2008-06-25,2008-07-22,20
Down Growth / Neutral/Mixed Inflation,2008-07-23,2008-08-13,16
Slowdown / Deflationary Slowdown,2008-08-14,2008-10-08,40
Slowdown / Deflationary Slowdown + Stress Overlay,2008-10-09,2009-01-05,63
Slowdown / Deflationary Slowdown,2009-01-06,2009-03-20,54
Down Growth / Neutral/Mixed Inflation,2009-03-23,2009-04-14,17
Neutral/Mixed Growth / Neutral/Mixed Inflation,2009-04-15,2009-06-09,40
Neutral/Mixed Growth / Up Inflation,2009-06-10,2009-06-17,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2009-06-18,2009-07-09,16
Down Growth / Neutral/Mixed Inflation,2009-07-10,2009-08-11,23
Neutral/Mixed Growth / Neutral/Mixed Inflation,2009-08-12,2009-09-01,15
Slowdown / Deflationary Slowdown,2009-09-02,2009-09-14,9
Neutral/Mixed Growth / Down Inflation,2009-09-15,2009-10-05,15
Neutral/Mixed Growth / Neutral/Mixed Inflation,2009-10-06,2010-04-22,143
Goldilocks / Expansion,2010-04-23,2010-05-20,20
Neutral/Mixed Growth / Neutral/Mixed Inflation,2010-05-21,2010-05-21,1
Neutral/Mixed Growth / Down Inflation,2010-05-24,2010-09-29,93
Goldilocks / Expansion,2010-09-30,2011-03-17,121
Neutral/Mixed Growth / Neutral/Mixed Inflation,2011-03-18,2011-03-28,7
Goldilocks / Expansion,2011-03-29,2011-04-14,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2011-04-15,2011-09-27,118
Neutral/Mixed Growth / Down Inflation,2011-09-28,2011-11-04,28
Neutral/Mixed Growth / Neutral/Mixed Inflation,2011-11-07,2011-12-29,39
Goldilocks / Expansion,2011-12-30,2012-01-18,14
Neutral/Mixed Growth / Neutral/Mixed Inflation,2012-01-19,2012-02-08,15
Goldilocks / Expansion,2012-02-09,2012-04-23,53
Neutral/Mixed Growth / Neutral/Mixed Inflation,2012-04-24,2012-05-08,11
Neutral/Mixed Growth / Down Inflation,2012-05-09,2012-08-08,66
Neutral/Mixed Growth / Neutral/Mixed Inflation,2012-08-09,2012-08-30,16
Goldilocks / Expansion,2012-08-31,2012-09-11,8
Reflation,2012-09-12,2012-10-01,14
Goldilocks / Expansion,2012-10-02,2012-10-29,20
Neutral/Mixed Growth / Neutral/Mixed Inflation,2012-10-30,2012-12-13,33
