axis,layer,mean,std,abs_p95,min,max
growth,macro,-0.012869411480317582,0.3410252092646774,0.7718325111151476,-0.9051482536448664,0.7719840740961453
growth,market,0.0269461408932239,0.9385257212218576,2.0151754946854075,-3.0,3.0
growth,final,0.009028725337797559,0.5339473849793124,1.1230015658424282,-1.906562832166345,1.8651568734499127
inflation,macro,-0.14279905191380876,0.3117393902294472,0.6034321690965776,-0.7945070441029114,0.8320351898396091
inflation,market,-0.00572284271170349,0.7851210513460466,1.8209687163043913,-2.9216638294885535,2.6212698095578904
inflation,final,-0.060088028822268706,0.48948257574599635,1.1881004189242577,-1.8087821540372566,2.286405634511066
