period,n,majority_regime,majority_share,stress_share,disagreement_share,macro_g,macro_i,market_g,market_i,final_g,final_i
2008 GFC,87,Slowdown / Deflationary Slowdown + Stress Overlay,0.9885057471264368,1.0,0.0,-0.8195582520915953,0.04272473724557151,-1.7484769489089673,-2.539005834075414,-1.3304635353411498,-1.5063136055470199
2009-10 Recovery,325,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.7569230769230769,0.0,0.5661538461538461,-0.47801908123895226,-0.4277340950116718,0.7616285090262277,0.23171892132032645,0.20378709340689677,-0.032062285212472855
2011 Euro / US downgrade,131,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.5648854961832062,0.19083969465648856,0.1984732824427481,0.3441342287295577,-0.2478626330730312,-0.5609967950572468,-0.21309990364206916,-0.15368783435318478,-0.22700499541445396
2014-16 Oil collapse,413,Slowdown / Deflationary Slowdown + Stress Overlay,0.2736077481840194,0.36319612590799033,0.15012106537530268,0.1661796770093792,-0.5934589135879903,-0.6174741199106789,-0.8498728571803252,-0.2648299112966528,-0.7473072797433913
2017 Soft landing,260,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.6269230769230769,0.0,0.25384615384615383,0.17755576408950396,-0.4510280742062614,0.3884501487245853,0.42083983628227356,0.29354767563879874,0.07209267208685954
2018 Q4 Selloff,65,Slowdown / Deflationary Slowdown + Stress Overlay,0.3384615384615385,0.49230769230769234,0.0,0.127707116284786,-0.22030771521158,-1.369747968708803,-0.9418584859029514,-0.695893180461688,-0.6532381776264027
2020 COVID shock,53,Slowdown / Deflationary Slowdown + Stress Overlay,0.8867924528301887,0.8867924528301887,0.0,-0.24231787796877058,-0.3840589048477852,-1.6536324531130258,-2.1285888668419966,-1.018540894298111,-1.430776882044312
2020H2-21 Reopening,392,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.5408163265306123,0.0,0.25510204081632654,0.10833285834956832,-0.16959477207672757,0.48425299817396356,0.670514103920291,0.3150889352529857,0.3344705535214835
2022 Inflation / Tightening,260,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.49230769230769234,0.2,0.5538461538461539,0.31038787953135494,0.5720066752918467,-0.6056236486285245,0.06428831400289414,-0.19341846095657877,0.2673756585184751
2023-24 Disinflation,413,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.5447941888619855,0.01937046004842615,0.1016949152542373,-0.023866430509304783,0.43198999917923525,0.3051702557980387,-0.23770476054816553,0.15710374695973417,0.03017314334279478
2025 Tariff shock (Apr),21,Down Growth / Neutral/Mixed Inflation + Stress Overlay,0.5714285714285714,0.8095238095238095,0.0,0.04367935605292626,0.14519840148644822,-1.6210927610606614,-0.6397341349746435,-0.871945308359547,-0.3257611203902068
2026 YTD,89,Neutral/Mixed Growth / Up Inflation,0.4157303370786517,0.10112359550561797,0.0,0.017769405718111808,0.07971353834882727,-0.40589624570946586,1.493618238599081,-0.2159046753353315,0.9668059999341925
