series,axis,mean,std,abs_p95,min,max
INDPRO,growth,-0.022827172215409235,0.4093929978700254,0.9051482536448664,-0.9051482536448664,0.9051482536448664
PAYEMS,growth,0.004016399043486892,0.4205280259179758,0.9051482536448664,-0.9051482536448664,0.9051482536448664
RSAFS,growth,-0.07500296761162321,0.41388619926217285,0.8705112445372186,-0.9051482536448664,0.9051482536448664
UNRATE,growth,0.017739825762408522,0.41381773991571547,0.9051482536448664,-0.9051482536448664,0.9051482536448664
USSLIND,growth,0.0482697255854946,0.3897568142889916,0.850623177067678,-0.9051482536448664,0.5432526389792486
AHETPI,inflation,0.15740428199557596,0.6148974398615449,0.9051482536448664,-0.9051482536448664,0.9051482536448664
CORESTICKM159SFRBATL,inflation,-0.24208258501744065,0.5097955055948188,0.9051482536448664,-0.9051482536448664,0.9051482536448664
CPIAUCSL,inflation,-0.043973194583074575,0.6239441574469402,0.9051482536448664,-0.9051482536448664,0.9051482536448664
CPILFESL,inflation,-0.10504795427548066,0.48952886031640586,0.9051482536448664,-0.9051482536448664,0.9051482536448664
PCEPI,inflation,-0.11671904206510296,0.5768477268480274,0.9051482536448664,-0.9051482536448664,0.9051482536448664
PCEPILFE,inflation,-0.16006554839994808,0.5010508126692759,0.9051482536448664,-0.9051482536448664,0.9051482536448664
T5YIFR,inflation,-0.006526976188752445,0.3756106728235951,0.8274516110081666,-0.9051482536448664,0.9051482536448664
