regime,start,end,days
Goldilocks / Expansion + Stress Overlay,1996-04-02,1996-04-09,6
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-04-10,1996-04-12,3
Goldilocks / Expansion + Stress Overlay,1996-04-15,1996-04-15,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-04-16,1996-05-01,12
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1996-05-02,1996-05-10,7
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-05-13,1996-05-27,11
Goldilocks / Expansion + Stress Overlay,1996-05-28,1996-05-28,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-05-29,1996-06-04,5
Goldilocks / Expansion + Stress Overlay,1996-06-05,1996-06-05,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-06-06,1996-06-06,1
Goldilocks / Expansion + Stress Overlay,1996-06-07,1996-06-07,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-06-10,1996-06-26,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-06-27,1996-07-08,8
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-07-09,1996-07-10,2
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1996-07-11,1996-07-31,15
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-08-01,1996-08-07,5
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1996-08-08,1996-08-22,11
Down Growth / Neutral/Mixed Inflation,1996-08-23,1996-09-04,9
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1996-09-05,1996-09-10,4
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-09-11,1996-10-01,15
Goldilocks / Expansion + Stress Overlay,1996-10-02,1996-10-07,4
Goldilocks / Expansion,1996-10-08,1996-10-29,16
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-10-30,1996-10-30,1
Goldilocks / Expansion + Stress Overlay,1996-10-31,1996-11-11,8
Goldilocks / Expansion,1996-11-12,1996-12-03,16
Goldilocks / Expansion + Stress Overlay,1996-12-04,1996-12-13,8
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-12-16,1996-12-17,2
Goldilocks / Expansion + Stress Overlay,1996-12-18,1996-12-30,9
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-12-31,1997-01-02,3
Goldilocks / Expansion + Stress Overlay,1997-01-03,1997-01-07,3
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-01-08,1997-01-08,1
Goldilocks / Expansion + Stress Overlay,1997-01-09,1997-02-04,19
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-02-05,1997-02-06,2
Goldilocks / Expansion + Stress Overlay,1997-02-07,1997-02-07,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-02-10,1997-02-10,1
Goldilocks / Expansion + Stress Overlay,1997-02-11,1997-02-19,7
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-02-20,1997-02-21,2
Goldilocks / Expansion + Stress Overlay,1997-02-24,1997-02-25,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-02-26,1997-03-04,5
Goldilocks / Expansion + Stress Overlay,1997-03-05,1997-03-05,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-03-06,1997-03-06,1
Goldilocks / Expansion + Stress Overlay,1997-03-07,1997-03-17,7
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-03-18,1997-04-01,11
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-04-02,1997-04-04,3
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-04-07,1997-04-08,2
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-04-09,1997-04-28,14
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-04-29,1997-05-02,4
Goldilocks / Expansion + Stress Overlay,1997-05-05,1997-05-05,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-05-06,1997-05-15,8
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-05-16,1997-05-16,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-05-19,1997-05-27,7
Goldilocks / Expansion + Stress Overlay,1997-05-28,1997-05-28,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-05-29,1997-05-29,1
Goldilocks / Expansion + Stress Overlay,1997-05-30,1997-05-30,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-06-02,1997-06-06,5
Goldilocks / Expansion + Stress Overlay,1997-06-09,1997-08-14,49
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-08-15,1997-08-15,1
Goldilocks / Expansion + Stress Overlay,1997-08-18,1997-08-25,6
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-08-26,1997-09-01,5
Goldilocks / Expansion + Stress Overlay,1997-09-02,1997-09-02,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-09-03,1997-09-09,5
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-09-10,1997-09-11,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-09-12,1997-09-17,4
Goldilocks / Expansion + Stress Overlay,1997-09-18,1997-09-18,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-09-19,1997-09-29,7
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-09-30,1997-09-30,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-10-01,1997-10-16,12
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-10-17,1997-10-20,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-10-21,1997-10-22,2
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-10-23,1997-11-19,20
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-11-20,1997-11-27,6
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-11-28,1997-11-28,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-12-01,1997-12-11,9
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-12-12,1998-01-19,27
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1998-01-20,1998-01-21,2
Goldilocks / Expansion + Stress Overlay,1998-01-22,1998-01-22,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1998-01-23,1998-02-04,9
Goldilocks / Expansion + Stress Overlay,1998-02-05,1998-02-10,4
Goldilocks / Expansion,1998-02-11,1998-02-11,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-02-12,1998-02-19,6
Goldilocks / Expansion,1998-02-20,1998-02-23,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-02-24,1998-02-24,1
Goldilocks / Expansion,1998-02-25,1998-02-25,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-02-26,1998-03-09,8
Goldilocks / Expansion,1998-03-10,1998-05-05,41
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-05-06,1998-05-12,5
Goldilocks / Expansion,1998-05-13,1998-05-13,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-05-14,1998-06-02,14
Down Growth / Neutral/Mixed Inflation,1998-06-03,1998-06-03,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-06-04,1998-06-10,5
Down Growth / Neutral/Mixed Inflation,1998-06-11,1998-06-16,4
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1998-06-17,1998-06-23,5
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1998-06-24,1998-06-29,4
Down Growth / Neutral/Mixed Inflation,1998-06-30,1998-07-01,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-07-02,1998-07-27,18
Down Growth / Neutral/Mixed Inflation,1998-07-28,1998-08-03,5
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1998-08-04,1998-10-29,63
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1998-10-30,1998-11-18,14
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-11-19,1998-11-20,2
Goldilocks / Expansion,1998-11-23,1998-12-11,15
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-12-14,1998-12-14,1
Goldilocks / Expansion,1998-12-15,1998-12-15,1
Goldilocks / Expansion + Stress Overlay,1998-12-16,1998-12-23,6
Goldilocks / Expansion,1998-12-24,1999-01-14,16
Goldilocks / Expansion + Stress Overlay,1999-01-15,1999-02-08,17
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1999-02-09,1999-02-10,2
Goldilocks / Expansion + Stress Overlay,1999-02-11,1999-02-11,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1999-02-12,1999-03-05,16
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-03-08,1999-03-09,2
Goldilocks / Expansion,1999-03-10,1999-03-18,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-03-19,1999-04-09,16
Goldilocks / Expansion,1999-04-12,1999-04-13,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-04-14,1999-04-20,5
Goldilocks / Expansion,1999-04-21,1999-04-22,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-04-23,1999-04-23,1
Goldilocks / Expansion,1999-04-26,1999-04-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-04-27,1999-05-06,8
Goldilocks / Expansion,1999-05-07,1999-05-10,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-05-11,1999-05-11,1
Goldilocks / Expansion,1999-05-12,1999-05-13,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-05-14,1999-06-09,19
Down Growth / Neutral/Mixed Inflation,1999-06-10,1999-06-16,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-06-17,1999-06-23,5
Down Growth / Neutral/Mixed Inflation,1999-06-24,1999-07-15,16
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-07-16,1999-07-19,2
Down Growth / Neutral/Mixed Inflation,1999-07-20,1999-08-13,19
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-08-16,1999-09-08,18
Goldilocks / Expansion,1999-09-09,1999-09-10,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-09-13,1999-09-23,9
Down Growth / Neutral/Mixed Inflation,1999-09-24,1999-10-04,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-10-05,1999-10-05,1
Down Growth / Neutral/Mixed Inflation,1999-10-06,1999-10-06,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-10-07,1999-10-12,4
Down Growth / Neutral/Mixed Inflation,1999-10-13,1999-10-19,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-10-20,1999-11-03,11
Goldilocks / Expansion,1999-11-04,1999-11-05,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-11-08,1999-11-08,1
Goldilocks / Expansion,1999-11-09,1999-11-09,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-11-10,1999-11-12,3
Goldilocks / Expansion,1999-11-15,1999-11-18,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-11-19,1999-11-23,3
Goldilocks / Expansion,1999-11-24,1999-11-29,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-11-30,1999-12-02,3
Goldilocks / Expansion,1999-12-03,1999-12-07,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-12-08,1999-12-08,1
Goldilocks / Expansion,1999-12-09,2000-01-27,36
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-01-28,2000-01-28,1
Goldilocks / Expansion,2000-01-31,2000-02-08,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-02-09,2000-02-09,1
Goldilocks / Expansion,2000-02-10,2000-02-10,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-02-11,2000-02-24,10
Goldilocks / Expansion,2000-02-25,2000-02-25,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-02-28,2000-04-11,32
Down Growth / Neutral/Mixed Inflation,2000-04-12,2000-04-13,2
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2000-04-14,2000-04-19,4
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2000-04-20,2000-04-20,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2000-04-21,2000-04-24,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2000-04-25,2000-05-02,6
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2000-05-03,2000-05-12,8
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2000-05-15,2000-05-16,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-05-17,2000-05-17,1
Down Growth / Neutral/Mixed Inflation,2000-05-18,2000-07-10,38
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-07-11,2000-07-26,12
Down Growth / Neutral/Mixed Inflation,2000-07-27,2000-08-03,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-08-04,2000-09-11,27
Down Growth / Neutral/Mixed Inflation,2000-09-12,2000-09-12,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-09-13,2000-09-14,2
Down Growth / Neutral/Mixed Inflation,2000-09-15,2000-09-19,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2000-09-20,2000-09-20,1
Down Growth / Neutral/Mixed Inflation,2000-09-21,2000-11-10,37
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2000-11-13,2000-11-16,4
Down Growth / Neutral/Mixed Inflation,2000-11-17,2000-12-21,25
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2000-12-22,2001-01-08,12
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2001-01-09,2001-01-18,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-01-19,2001-02-01,10
Down Growth / Neutral/Mixed Inflation,2001-02-02,2001-02-02,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-02-05,2001-02-08,4
Down Growth / Neutral/Mixed Inflation,2001-02-09,2001-02-12,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-02-13,2001-02-20,6
Down Growth / Neutral/Mixed Inflation,2001-02-21,2001-02-22,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-02-23,2001-02-27,3
Down Growth / Neutral/Mixed Inflation,2001-02-28,2001-03-15,12
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2001-03-16,2001-04-27,31
Down Growth / Neutral/Mixed Inflation,2001-04-30,2001-05-16,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-05-17,2001-06-01,12
Down Growth / Neutral/Mixed Inflation,2001-06-04,2001-06-04,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-06-05,2001-06-28,18
Goldilocks / Expansion,2001-06-29,2001-07-02,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-07-03,2001-07-13,9
Down Growth / Neutral/Mixed Inflation,2001-07-16,2001-07-18,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-07-19,2001-07-23,3
Down Growth / Neutral/Mixed Inflation,2001-07-24,2001-09-10,35
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2001-09-11,2001-11-14,47
Down Growth / Neutral/Mixed Inflation,2001-11-15,2001-11-15,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-11-16,2001-11-20,3
Down Growth / Neutral/Mixed Inflation,2001-11-21,2001-11-21,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-11-22,2001-12-04,9
Goldilocks / Expansion,2001-12-05,2001-12-07,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2001-12-10,2001-12-12,3
Goldilocks / Expansion,2001-12-13,2002-01-07,18
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-01-08,2002-02-07,23
Down Growth / Neutral/Mixed Inflation,2002-02-08,2002-02-08,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-02-11,2002-02-11,1
Down Growth / Neutral/Mixed Inflation,2002-02-12,2002-02-12,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-02-13,2002-02-13,1
Down Growth / Neutral/Mixed Inflation,2002-02-14,2002-03-06,15
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-03-07,2002-03-14,6
Down Growth / Neutral/Mixed Inflation,2002-03-15,2002-03-15,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-03-18,2002-03-19,2
Down Growth / Neutral/Mixed Inflation,2002-03-20,2002-04-12,18
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-04-15,2002-04-22,6
Down Growth / Neutral/Mixed Inflation,2002-04-23,2002-05-01,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-05-02,2002-05-03,2
Down Growth / Neutral/Mixed Inflation,2002-05-06,2002-05-07,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-05-08,2002-05-08,1
Down Growth / Neutral/Mixed Inflation,2002-05-09,2002-05-13,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-05-14,2002-05-22,7
Down Growth / Neutral/Mixed Inflation,2002-05-23,2002-07-03,30
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2002-07-04,2002-09-09,48
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2002-09-10,2002-09-11,2
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2002-09-12,2002-10-10,21
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2002-10-11,2002-10-11,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2002-10-14,2002-10-14,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2002-10-15,2002-11-15,24
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-11-18,2002-11-28,9
Goldilocks / Expansion,2002-11-29,2002-12-03,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-12-04,2002-12-25,16
Goldilocks / Expansion,2002-12-26,2002-12-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2002-12-27,2003-01-01,4
Goldilocks / Expansion,2003-01-02,2003-01-07,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-01-08,2003-01-29,16
Down Growth / Neutral/Mixed Inflation,2003-01-30,2003-02-05,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-02-06,2003-02-06,1
Down Growth / Neutral/Mixed Inflation,2003-02-07,2003-02-13,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-02-14,2003-02-14,1
Down Growth / Neutral/Mixed Inflation,2003-02-17,2003-03-05,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-03-06,2003-03-06,1
Down Growth / Neutral/Mixed Inflation,2003-03-07,2003-03-12,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-03-13,2003-04-22,29
Goldilocks / Expansion,2003-04-23,2003-04-23,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-04-24,2003-04-28,3
Goldilocks / Expansion,2003-04-29,2003-04-29,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-04-30,2003-05-01,2
Goldilocks / Expansion,2003-05-02,2003-05-15,10
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-05-16,2003-05-29,10
Goldilocks / Expansion,2003-05-30,2003-06-11,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-06-12,2003-06-25,10
Goldilocks / Expansion,2003-06-26,2003-06-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-06-27,2003-07-04,6
Goldilocks / Expansion,2003-07-07,2003-07-17,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-07-18,2003-07-22,3
Goldilocks / Expansion,2003-07-23,2003-07-23,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-07-24,2003-07-25,2
Goldilocks / Expansion,2003-07-28,2003-07-29,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-07-30,2003-08-13,11
Goldilocks / Expansion,2003-08-14,2003-08-26,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-08-27,2003-08-28,2
Goldilocks / Expansion,2003-08-29,2003-08-29,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-09-01,2003-09-02,2
Goldilocks / Expansion,2003-09-03,2003-09-04,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-09-05,2003-09-17,9
Goldilocks / Expansion,2003-09-18,2003-09-22,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-09-23,2003-10-31,29
Goldilocks / Expansion,2003-11-03,2003-11-03,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-11-04,2003-11-04,1
Goldilocks / Expansion,2003-11-05,2003-11-06,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-11-07,2003-12-23,33
Goldilocks / Expansion,2003-12-24,2003-12-24,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-12-25,2003-12-25,1
Goldilocks / Expansion,2003-12-26,2003-12-29,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2003-12-30,2004-01-16,14
Goldilocks / Expansion,2004-01-19,2004-01-21,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-01-22,2004-05-31,93
Neutral/Mixed Growth / Up Inflation,2004-06-01,2004-06-02,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-06-03,2004-06-03,1
Neutral/Mixed Growth / Up Inflation,2004-06-04,2004-06-09,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-06-10,2004-06-17,6
Goldilocks / Expansion,2004-06-18,2004-06-18,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-06-21,2004-07-08,14
Neutral/Mixed Growth / Down Inflation,2004-07-09,2004-07-20,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-07-21,2004-08-03,10
Neutral/Mixed Growth / Down Inflation,2004-08-04,2004-08-05,2
Slowdown / Deflationary Slowdown,2004-08-06,2004-08-09,2
Neutral/Mixed Growth / Down Inflation,2004-08-10,2004-08-10,1
Slowdown / Deflationary Slowdown,2004-08-11,2004-08-16,4
Neutral/Mixed Growth / Down Inflation,2004-08-17,2004-08-27,9
Slowdown / Deflationary Slowdown,2004-08-30,2004-08-30,1
Neutral/Mixed Growth / Down Inflation,2004-08-31,2004-08-31,1
Slowdown / Deflationary Slowdown,2004-09-01,2004-09-08,6
Neutral/Mixed Growth / Down Inflation,2004-09-09,2004-09-21,9
Slowdown / Deflationary Slowdown,2004-09-22,2004-09-28,5
Neutral/Mixed Growth / Down Inflation,2004-09-29,2004-10-14,12
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-10-15,2004-10-15,1
Neutral/Mixed Growth / Down Inflation,2004-10-18,2004-10-20,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-10-21,2004-10-22,2
Neutral/Mixed Growth / Down Inflation,2004-10-25,2004-10-27,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-10-28,2004-11-02,4
Goldilocks / Expansion,2004-11-03,2004-11-19,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-11-22,2004-11-22,1
Goldilocks / Expansion,2004-11-23,2004-12-09,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2004-12-10,2004-12-10,1
Reflation,2004-12-13,2004-12-16,4
Neutral/Mixed Growth / Up Inflation,2004-12-17,2004-12-17,1
Reflation,2004-12-20,2004-12-28,7
Neutral/Mixed Growth / Up Inflation,2004-12-29,2005-01-04,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-01-05,2005-02-25,38
Down Growth / Neutral/Mixed Inflation,2005-02-28,2005-03-01,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-03-02,2005-03-08,5
Neutral/Mixed Growth / Up Inflation,2005-03-09,2005-03-09,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-03-10,2005-03-17,6
Down Growth / Neutral/Mixed Inflation,2005-03-18,2005-04-01,11
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-04-04,2005-04-13,8
Down Growth / Neutral/Mixed Inflation,2005-04-14,2005-04-20,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-04-21,2005-04-21,1
Down Growth / Neutral/Mixed Inflation,2005-04-22,2005-04-22,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-04-25,2005-04-25,1
Down Growth / Neutral/Mixed Inflation,2005-04-26,2005-04-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-04-27,2005-04-27,1
Down Growth / Neutral/Mixed Inflation,2005-04-28,2005-05-03,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-05-04,2005-05-10,5
Slowdown / Deflationary Slowdown,2005-05-11,2005-05-13,3
Neutral/Mixed Growth / Down Inflation,2005-05-16,2005-06-17,25
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-06-20,2005-06-21,2
Neutral/Mixed Growth / Down Inflation,2005-06-22,2005-06-22,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2005-06-23,2005-06-27,3
