regime,start,end,days
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-01-02,1995-01-02,1
Goldilocks / Expansion,1995-01-03,1995-01-04,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-01-05,1995-01-18,10
Goldilocks / Expansion,1995-01-19,1995-01-19,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-01-20,1995-01-31,8
Goldilocks / Expansion,1995-02-01,1995-08-25,148
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-08-28,1995-08-29,2
Goldilocks / Expansion,1995-08-30,1995-08-30,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-08-31,1995-08-31,1
Goldilocks / Expansion,1995-09-01,1995-10-02,22
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-10-03,1995-10-13,9
Goldilocks / Expansion,1995-10-16,1995-10-19,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-10-20,1995-11-02,10
Goldilocks / Expansion,1995-11-03,1995-11-03,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-11-06,1995-11-07,2
Goldilocks / Expansion,1995-11-08,1995-11-13,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-11-14,1995-11-14,1
Goldilocks / Expansion,1995-11-15,1995-12-14,22
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-12-15,1996-01-01,12
Goldilocks / Expansion,1996-01-02,1996-01-08,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-01-09,1996-01-10,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-01-11,1996-01-19,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-01-22,1996-01-22,1
Goldilocks / Expansion,1996-01-23,1996-01-24,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-01-25,1996-01-25,1
Goldilocks / Expansion,1996-01-26,1996-02-15,15
Goldilocks / Expansion + Stress Overlay,1996-02-16,1996-02-26,7
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-02-27,1996-03-15,14
Goldilocks / Expansion + Stress Overlay,1996-03-18,1996-03-26,7
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-03-27,1996-04-01,4
