axis,layer,mean,std,p05,p95,min,max,abs_p95
growth,macro,1.645342071882942,2.6241154440846297,-3.070101618373922,4.15734802858696,-12.6258876665763,17.762951873134462,5.430068708598137
growth,market,0.0269461408932239,0.9385257212218576,-1.5855402052572103,1.4982271580788455,-3.0,3.0,2.0151754946854075
growth,final,0.7548588713678286,1.240115556685938,-1.3769677820092223,2.37708682823985,-6.299997698209865,8.166558633459418,2.801074553741571
inflation,macro,-0.36227586295217545,1.1403015036146957,-2.0248515542843615,2.1874632360938517,-3.8155078167054146,4.4991966549780145,2.5657918340855423
inflation,market,-0.00572284271170349,0.7851210513460466,-1.5224800814403305,1.2268834470252745,-2.9216638294885535,2.6212698095578904,1.8209687163043913
inflation,final,-0.1478358080379503,0.6720631094920195,-1.3610895198574005,0.982503845115721,-2.93284479076387,2.8071976776733827,1.5476429472415312
