axis,layer,n_obs,mean,std,abs_p95,min,max
growth,macro,8173,-0.012869411480317582,0.3410252092646774,0.7718325111151476,-0.9051482536448664,0.7719840740961453
growth,market,6875,-0.005624300529730859,0.2924949830126471,0.565635780079,-0.893906744709802,0.7834565764665987
growth,final,8180,0.004359237975012251,0.23465660987837866,0.4704999313697731,-0.8820877773078784,0.7299337320557796
inflation,macro,8173,-0.07413082642306527,0.31519021917582096,0.6034321690965776,-0.7434457139752675,0.8320351898396091
inflation,market,6875,0.0073602508016103775,0.3442541976505234,0.6754315980625378,-0.8990585266556526,0.8796676785425793
inflation,final,8180,-0.021109249578008617,0.24946467152916454,0.4958024607098678,-0.6666406997037824,0.6657368293742013
