month,fwd_3m_Goldilocks,fwd_3m_Reflation,fwd_3m_Stagflation,fwd_3m_Recession,winner_3m,winner_margin_3m,softmax_3m_Goldilocks,softmax_3m_Reflation,softmax_3m_Stagflation,softmax_3m_Recession,er_3m_Goldilocks,er_3m_Reflation,er_3m_Stagflation,er_3m_Recession,fwd_6m_Goldilocks,fwd_6m_Reflation,fwd_6m_Stagflation,fwd_6m_Recession,winner_6m,winner_margin_6m,softmax_6m_Goldilocks,softmax_6m_Reflation,softmax_6m_Stagflation,softmax_6m_Recession,er_6m_Goldilocks,er_6m_Reflation,er_6m_Stagflation,er_6m_Recession,fwd_12m_Goldilocks,fwd_12m_Reflation,fwd_12m_Stagflation,fwd_12m_Recession,winner_12m,winner_margin_12m,softmax_12m_Goldilocks,softmax_12m_Reflation,softmax_12m_Stagflation,softmax_12m_Recession,er_12m_Goldilocks,er_12m_Reflation,er_12m_Stagflation,er_12m_Recession
1989-02,0.1572936790619638,0.13328628014357344,0.00027376239642190326,0.11664962422482839,Goldilocks,Neutral,0.4749385327843454,0.2938405909473252,0.020548481755166416,0.2106723945131631,0.0554178426052669,0.03141044368687655,-0.10160207406027498,0.0147737877681315,0.3796129250424439,0.27974680687424314,-0.03553028650483242,0.2907600929008548,Goldilocks,Goldilocks,0.7662358513248955,0.10397678560484377,0.0001898778689136384,0.12959748520134698,0.15096554046426655,0.05109942229606576,-0.2641776710830098,0.06211270832267743,0.27309663772878107,0.21493130524098736,0.025756553260302812,0.23187615328046227,Goldilocks,Goldilocks,0.5688116582455538,0.17772594424119081,0.0040420326034705375,0.24942036490978464,0.08668147535114767,0.028516142863353966,-0.16065860911733057,0.045460990902828874
1989-03,0.21029956926560772,0.118345876142854,-0.060127228149609545,0.18078406612003625,Goldilocks,Goldilocks,0.5822083392189656,0.09255050471049882,0.0026072405631229565,0.32263391550741255,0.09797399842088561,0.006020305298131884,-0.17245279899433166,0.06845849527531414,0.35342189798122414,0.2458036030069575,-0.045811040551989965,0.27973705463150994,Goldilocks,Goldilocks,0.7431482145635337,0.08636043188183182,0.0002531524849247328,0.1702382010697098,0.14513401921429875,0.037515724240032106,-0.2540989193189154,0.07144917586458455,0.2818965314796068,0.2098368419067193,0.010951427344242383,0.23850317752365946,Goldilocks,Goldilocks,0.60207480209631,0.14247804278341716,0.0026684015183283368,0.25277875360194463,0.0965995369160498,0.024539847343162308,-0.17434556721931463,0.05320618296010246
1989-04,0.26423212275273605,0.15466740610023896,-0.07271393050322568,0.21679898040956352,Goldilocks,Goldilocks,0.6665713869769264,0.07450400691815073,0.0007891697590982047,0.25813543634582464,0.12348597806290784,0.013921261410410751,-0.21346007519305388,0.07605283571973531,0.2562612940340769,0.1517241110831562,-0.05186015638743151,0.2224133829925365,Goldilocks,Goldilocks,0.6120465424503586,0.07564600806416312,0.0012896609068937406,0.31101778857858453,0.11162663610349238,0.007089453152571701,-0.19649481431801602,0.07777872506195199,0.14390633722789786,0.10225885882799263,0.030303321873206578,0.13872890521845052,Goldilocks,Neutral,0.4099206142631663,0.17821914579711623,0.04226262856587547,0.3695976113738419,0.040106981441010964,-0.0015404969588942719,-0.07349603391368031,0.03492954943156362
1989-05,0.19210270478680866,0.1292352420538568,-0.03579424978165597,0.15592220236217152,Goldilocks,Goldilocks,0.5618328560877122,0.15978915131792037,0.005890054821603588,0.2724879377727638,0.0817362299315134,0.01886876719856155,-0.14616072463695123,0.04555572750687627,0.21517399422282382,0.13562470753780784,-0.030015137915966862,0.19092166522696488,Goldilocks,Neutral,0.5474017985890905,0.11151926414696425,0.004060883007587236,0.337018054256358,0.08724768695491641,0.0076984002699004295,-0.15794144518387426,0.06299535795905747,0.18132963126230703,0.16313858176313742,0.059866069365402716,0.1516503409785107,Goldilocks,Neutral,0.42818121848357027,0.29759262577157336,0.037723199468328715,0.23650295627652768,0.04233347541996754,0.024142425920797933,-0.07913008647693677,0.012654185136171225
1989-06,0.11825363930556554,0.11396986351279975,0.015232048449955982,0.08380278100857637,Goldilocks,Neutral,0.3925632431792991,0.3603306699520916,0.05001214301536238,0.19709394385324686,0.035439056236341124,0.031155280443575337,-0.06758253461926843,0.0009881979393519535,0.18769823937992142,0.16332934061108226,0.02060805289210322,0.15058519064958684,Goldilocks,Neutral,0.470445593595203,0.288964066112472,0.01664111744510027,0.22394922284722477,0.057143033496747986,0.03277413472790883,-0.10994715299107022,0.020029984766413406,0.14699072294058246,0.14523544587640255,0.07645831126054597,0.11865684153835931,Goldilocks,Neutral,0.3601143105182656,0.34769163095073924,0.08786251618102955,0.2043315423499657,0.02515539253660988,0.02340011547242997,-0.04537701914342661,-0.0031784888656132687
1989-07,-0.0063048775420319805,-0.002549041396278264,0.02248904065507123,0.004614075680013466,Stagflation,Neutral,0.1960491889577276,0.2113429807004711,0.34871115930204233,0.24389667103975884,-0.010867176891225594,-0.007111340745471878,0.017926741305877618,5.177633081985232e-05,-0.054937860642404114,-0.032883704938733015,0.05917210940699594,-0.025055027217024704,Stagflation,Stagflation,0.07056938526308283,0.10969233890110912,0.6914534386093072,0.12828483722650078,-0.04151173979461264,-0.01945758409094154,0.07259823025478741,-0.01162890636923323,0.021140968880992518,0.05280429114454618,0.10938617134667897,0.03058165173847543,Stagflation,Stagflation,0.10067876146159775,0.1896539913391619,0.5880658419721824,0.1216014052270579,-0.032337301896680756,-0.0006739796331270975,0.05590790056900569,-0.022896619039197843
1989-08,0.01935344106122224,0.005658223588851005,0.005993650073524688,0.030278389664348156,Recession,Neutral,0.2652424424340524,0.20169162769617527,0.2030492306378214,0.330016699231951,0.004032514964235718,-0.009662702508135518,-0.009327276023461836,0.014957463567361632,-0.0772073712707395,-0.05064712901418865,0.06354459752088659,-0.04561958488200298,Stagflation,Stagflation,0.04700192655494995,0.07994936018284743,0.7846423173322096,0.08840639592999307,-0.04972499935922836,-0.023164757102677513,0.09102696943239773,-0.018137212970491846,-0.0975128400695427,-0.03770407304883867,0.152359541900307,-0.04485337411492707,Stagflation,Stagflation,0.006442922826090354,0.021309599086845443,0.9537770381814779,0.01847043990558654,-0.09058515373629233,-0.030776386715588314,0.15928722823355737,-0.037925687781676716
1989-09,0.06210093813553867,0.044309526419890784,0.00529534548318805,0.06161859963014988,Goldilocks,Neutral,0.3319989736583681,0.2325961395986152,0.10659323247317824,0.3288116542698385,0.018769835718346825,0.0009784240026989369,-0.038035756934003795,0.018287497212958033,-0.05284779757761069,-0.028870329972899678,0.05948765947687021,-0.03222058543872003,Stagflation,Stagflation,0.07362378545517774,0.1189279083758416,0.6962280652117274,0.11122024095725329,-0.039235034199520645,-0.015257566594809632,0.07310042285496025,-0.018607822060629983,-0.13444345759657594,-0.052440129144201174,0.1900297033904657,-0.06674016114537798,Stagflation,Stagflation,0.0014965609853827193,0.007715539164042855,0.9849915074245837,0.005796392425990722,-0.1185449464726536,-0.036541618020278825,0.20592821451438806,-0.05084165002145563
1989-10,-0.048941553602553034,-0.030412185462149074,0.03587624638834584,-0.0295328361559691,Stagflation,Stagflation,0.1066449550277887,0.15448430456493167,0.5816454906874206,0.1572252497198592,-0.030688971394471694,-0.012159603254067734,0.05412882859642718,-0.011280253947887758,-0.08943597748314558,-0.04294887271973775,0.08665755248464377,-0.06845841099123251,Stagflation,Stagflation,0.02570507795690062,0.06513295572932487,0.8700573748791174,0.039104591434657096,-0.060889550305777564,-0.014402445542369732,0.11520397966201179,-0.039911983813864495,-0.11947554860493267,-0.04430152127893468,0.1769673882684679,-0.057966657452122525,Stagflation,Stagflation,0.0025998023798693187,0.011692130175560304,0.9768119649625573,0.008896102482013073,-0.10828146383805218,-0.03310743651205418,0.1881614730353484,-0.04677257268524203
1989-11,-0.0947275090683314,-0.055988556830077994,0.05720806234030969,-0.07366744300157335,Stagflation,Stagflation,0.03910492537419167,0.08486209035651714,0.8164452501786491,0.05958773409064217,-0.05293364742841314,-0.014194695190159735,0.09900192398022795,-0.03187358136165509,-0.027851454294956588,0.024227963730186416,0.09266248453430283,-0.03297557294918291,Stagflation,Stagflation,0.06299857891705303,0.17851998036400418,0.7016192976275691,0.056862143091373586,-0.04186730955004403,0.010212108475098979,0.0786466292792154,-0.046991428204270345,-0.07104028555785555,-0.01766216634719386,0.13388803350163186,-0.022245656267451674,Stagflation,Stagflation,0.014966551065316086,0.04352694477040374,0.9017922421474204,0.03971426201685987,-0.07677526689013825,-0.023397147679476555,0.12815305216934916,-0.02798063759973437
1989-12,-0.10822769436107994,-0.07007487200051325,0.05390685855372682,-0.08839255934434638,Stagflation,Stagflation,0.03307505839256474,0.07094010451772201,0.8468050761528497,0.04917976093686349,-0.05503062757302675,-0.01687780521246006,0.10710392534178001,-0.03519549255629319,-0.03427429214729807,-0.015553544557876605,0.054722533503610456,-0.027749661103496127,Stagflation,Stagflation,0.10500881640006789,0.1526975647462858,0.6226476726622737,0.11964594619137266,-0.02856055107103298,-0.00983980348161152,0.06043627457987554,-0.02203592002723104,-0.046361150474675206,-0.026657141927761873,0.08462362005422475,0.002164162272695261,Stagflation,Stagflation,0.05303959250327219,0.07865874671733683,0.7283153107625252,0.13998635001686577,-0.04980352295579594,-0.030099514408882606,0.08118124757310402,-0.0012782102084254701
1990-01,-0.042578270593130255,-0.012929914206444756,0.04902256063246017,-0.040110141059362385,Stagflation,Stagflation,0.09894699617378136,0.1790296513837279,0.6180695175576764,0.10395383488481444,-0.030929329286510945,-0.0012809728998254485,0.06067150193907948,-0.028461199752743076,0.08050140446332034,0.08860154308314168,0.04740878417559223,0.05706648119502123,Reflation,Neutral,0.30142502627577056,0.3544346867689132,0.15550360434538277,0.18863668260993344,0.012106851234051474,0.020206989853872814,-0.020985769053676634,-0.011328072034247634,0.12244411108133671,0.10289391245645692,0.053293000314792366,0.12513268538392353,Recession,Neutral,0.3352959004685181,0.2267865925672471,0.08409870862323965,0.35381879834099517,0.021503183772209333,0.0019529851473295418,-0.04764792699433501,0.02419175807479615
1990-02,0.07387395004629906,0.08497409765595972,0.03353589842618939,0.04392792819918078,Reflation,Neutral,0.3082347268572044,0.3848541937799826,0.13756555408916513,0.16934552527364782,0.014795981464391816,0.025896129074052476,-0.02554207015571785,-0.015150040382726458,-0.022004368226006533,0.013633556458211266,0.08350843451835241,0.0008028358031437529,Stagflation,Stagflation,0.07771251050443548,0.15850319462076518,0.6411556875052904,0.12262860736950895,-0.040989482864431756,-0.005351558180213958,0.06452331987992718,-0.018182278835281472,0.25499277230193357,0.1925254696435327,0.02068924612090534,0.23083271466340338,Goldilocks,Neutral,0.5228154542136506,0.14988712167085838,0.004821851669863109,0.32247557244562786,0.0802327216194898,0.017765418961088936,-0.15407080456153843,0.056072663980959614
